Head,Relationship,Tail
Overlooker,IN_CHARGE_OF,Wool Sorting Department
Overlooker,SUPERVISES,Foremen
Overlooker,DOES_WORK_OF,Foreman
Foremen,SUPERVISED_BY,Overlooker
Carding Overlooker,IN_CHARGE_OF,Carding Department
Carding Overlooker,PART_OF,Woollen Mill
Carding Overlooker,PART_OF,Wool Combing Establishment
Carding Overlooker,PART_OF,Wool Combing Department
Foreman Carder,IN_CHARGE_OF,Card Room
Foreman Carder,ADJUSTS,Carding Machines
Card Room,WHERE,Wool
Card Room,WHERE,Hair
Foreman,IN_CHARGE_OF,Card Grinder
Foreman,IN_CHARGE_OF,Carding Department
Card Grinder,PART_OF,Textile Factory
Carding Department,PART_OF,Textile Factory
Card Grinder,WORKS_ON,Frames
Frames,BELONGS_TO,Carding Department
Head Carder,IN_CHARGE_OF,Carding Department
Head Carder,IN_CHARGE_OF,Cotton
Under-Carder,EMPLOYED_BY,Head Carder
Head Carder,CONTROLS,Whole Carding Department
Overlooker,IN_CHARGE_OF,Carding Department
Overlooker,IN_CHARGE_OF,Combing Department
Overlooker,IN_CHARGE_OF,Drawing Department
Overlooker,IN_CHARGE_OF,Preparing Department
Carding Department,PART_OF,Textile Factory
Combing Department,PART_OF,Textile Factory
Drawing Department,PART_OF,Textile Factory
Preparing Department,PART_OF,Textile Factory
Overlooker,SETS,Machines
Overlooker,RUNS,Machines
Overlooker,ADJUSTS,Machines
Overlooker,REPAIRS,Machines
Overlooker,ENGAGES,Workers
Overlooker,DISCHARGES,Workers
Preparing Master,IN_CHARGE_OF,Preparers
Preparing Master,IN_CHARGE_OF,Preparing Machines
Preparing Machines,PART_OF,Textile Factory
Preparing Master,KEEPS_IN_ORDER,Preparing Machines
Under-Carder,ASSISTS,Carder
Under-Carder,SUPERINTENDS,Operations in Card Room
Under-Carder,SUPERINTENDS,Operation of Scutching
Under-Carder,SUPERINTENDS,Operation of Stubbing
Under-Carder,SUPERINTENDS,Operation of Roving
Under-Carder,ADJUSTS,Machines
Under-Carder,REPAIRS,Machines
Doubling Overlooker,IN_CHARGE_OF,Doubling Room
Doubling Room,PART_OF,Textile Factory
Doubling Overlooker,RESPONSIBLE_FOR,Regularity of Output
Doubling Overlooker,RESPONSIBLE_FOR,Quantity of Output
Doubling Overlooker,RESPONSIBLE_FOR,Quality of Output
Doubling Overlooker,RESPONSIBLE_FOR,Condition of Machinery
Spinning Mill Steward,IN,Silk Spinning Department
Spinning Mill Steward,SAME_AS,Spinning Overlooker
Spinning Overlooker,IN_CHARGE_OF,Silk Spinning Department
Under-Master,ASSISTS,Spinning Master
Under-Master,WORKS_UNDER,Spinning Master
Under-Master,TAKES_PLACE_WHEN_ABSENT,Spinning Master
Wheel Changer,OVERLOOKER_IN,Wool Spinning Department
Wheel Changer,CHANGES,Gears
Wheel Changer,CHANGES,Rollers
Wheel Changer,SETS,Spinning Machines
Danter,IN,Silk Throwing Department
Danter,SLANG_FOR,Woman Overlooker
Doubler Overlooker,IN_CHARGE_OF,Silk Doubling Department
Silk Doubling Department,PART_OF,Textile Factory
Doubler Overlooker,DIRECTS,Silk Doublers
Doubler Overlooker,CONTROLS,Silk Doublers
Doubler Overlooker,CONTROLS,Other Operatives
Warping Overlooker,IN_CHARGE_OF,Warping Room
Warping Room,PART_OF,Textile Factory
Warping Overlooker,RESPONSIBLE_FOR,Condition of Machinery
Warping Overlooker,RESPONSIBLE_FOR,Running of Machinery
Warping Overlooker,DESPATCHES,Yarn
Winding Master,IN_CHARGE_OF,Winding Department
Winding Master,OVERLOOKER_IN,Winding Department
Head Tuner,ACTS_AS,Overlooker (Weaving)
Head Tuner,ADJUSTS,Jacquard Machines
Head Tuner,SUPERVISES,Operatives
Jacquard Machine Gaiter,ADJUSTS,Jacquard Machines
Jacquard Machine Gaiter,SUPERVISES,Operatives
Jacquard Tackier,ADJUSTS,Jacquard Machines
Jacquard Tackier,SUPERVISES,Operatives
Jaque Man,ADJUSTS,Jacquard Machines
Jaque Man,SUPERVISES,Operatives
Colour Foreman,SUPERVISES,Looms
Colour Foreman,RESPONSIBLE_FOR,Correct Weaving
Colour Foreman,SELECTS,Coloured Yarns
Coloured Yarns,SELECTED_BY,Colourists
Foreman Finisher,DIRECTS_OPERATIONS_IN,Textile Finishing Departments
Foreman Finisher,IN_CHARGE_OF,Finishers
Finishers,CONSISTS_OF,Calenderers
Finishers,CONSISTS_OF,Manglers
Finishers,CONSISTS_OF,Scourers
Finishers,CONSISTS_OF,Millers
Finishers,CONSISTS_OF,Tenterers
Gassers' Overlooker,IN_CHARGE_OF,Gassing Room
Gassing Room,PART_OF,Textile Factory
Gassers' Overlooker,RESPONSIBLE_FOR,Quantity of Gassed Yarn Produced
Gassers' Overlooker,RESPONSIBLE_FOR,Quality of Gassed Yarn Produced
Gassers' Overlooker,RUNS,Machines
Loft Man,IN_CHARGE_OF,Finishing Department
Finishing Department,PART_OF,Linen Bleaching Works
Stenter Man,IN_CHARGE_OF,Stenterers
Stenter Man,RESPONSIBLE_FOR,Stentering Machines
